id_bien;code_departement_code_commune;numero_voie;b_t_q;type_voie;code_voie;voie;prefix_section;section;numero_plan;lot;surface_carrez;surface_reelle;surface_terrain;type_local;nombre_piece
0110334720A30212;01103;347;;RUE;20;DU CHATEAU;;A;302;12;48.22;48;;Appartement;3
0600441000CP186132;06004;4;;BD;1000;EDOUARD BAUDOIN;;CP;186;132;39.11;40;;Appartement;1
0608820B3975LS16999;06088;20;B;RUE;3975;MARCEAU;;LS;169;99;80.25;82;;Appartement;3
061235501011AO348242;06123;550;;RTE;1011;DES VESPINS RN7;;AO;348;242;27.51;27;;Appartement;1
130059300A084AW224218;13005;9300;;RES;A084;LES ARPEGES BD DES ABA;;AW;224;218;47.33;47;;Appartement;2
1302827791AB692;13028;27;;RUE;791;DU GRAND MADIER;;AB;69;2;25.31;24;;Appartement;1
132083607515843C21112;13208;360;;AV;7515;DU PRADO;843;C;21;112;70.84;70;;Appartement;3
132125076FA312873A971080;13212;5076;F;PARC;A312;DESSUARD;873;A;97;1080;67.19;66;;Appartement;3
1433811941090AC181155;14338;1194;;RUE;1090;DE NORMANDIE;;AC;181;155;18.89;19;;Appartement;1
14366301037BH9332;14366;30;;ALL;1037;DES NOISETIERS;;BH;93;32;105.37;99;;Maison;4
17300117190CZ1386;17300;11;;RUE;7190;ROUGET DE L ISLE;;CZ;138;6;31.99;34;;Appartement;2
2505613422MZ1436;25056;13;;RUE;422;BERTHE MORISOT;;MZ;143;6;96.21;100;;Maison;5
2923215185KI28305;29232;1;;RUE;5185;DU POHER;;KI;28;305;30.86;31;;Appartement;1
292602500BO1993;29260;2;;RUE;500;DES JARDINS;;BO;199;3;66.21;67;;Appartement;3
3155552238834AB1419;31555;5;;AV;2238;DU COMMANDANT TAILLANDIER;834;AB;141;9;45.58;46;;Appartement;2
33063157025EK2598;33063;15;;RUE;7025;PAUL DENUCE;;EK;259;8;23.2;27;;Appartement;1
330631768390HD20312;33063;176;;RUE;8390;SAINTE CATHERINE;;HD;203;12;13.1;12;;Appartement;1
33097822GB005CA9389;33097;822;G;;B005;LA BAYNASSE SUD;;CA;93;89;29;29;;Appartement;2
334499149DL118207;33449;9;;RUE;149;DE BELFORT;;DL;118;207;51.4;51;;Appartement;2
34145183540AX1951;34145;183;;RUE;540;MARC ANTOINE MENARD;;AX;195;1;16.79;18;;Appartement;1
341505030CA4919;34150;50;;AV;30;ANDRE CHASSEFIERE;;CA;49;19;51.4;51;;Appartement;2
341998448BI1103;34199;8;;PL;448;DES ETATS DU LANGUEDOC;;BI;110;3;68.22;85;;Appartement;3
371567405BM1593;37156;7;;RUE;405;JEAN-JACQUES ROUSSEAU;;BM;159;3;88.45;89;;Maison;4
372611972300DP55033;37261;197;;AV;2300;DE GRAMMONT;;DP;550;33;42.94;46;;Appartement;2
38185484800DI6925;38185;48;;BD;4800;MAL FOCH;;DI;69;25;76.48;77;;Appartement;4
4026621084AB1163108;40266;210;;RTE;84;DU TAILLEUR;;AB;1163;108;48.23;53;;Maison;3
40328199A065AN156199;40328;199;;RES;A065;MER ET GOLF-LE BOUCANIER;;AN;156;199;49.91;48;;Appartement;2
4414331975CO521170;44143;3;;ALL;1975;JEAN PERRIN;;CO;52;1170;46.3;45;;Appartement;2
44184121950CS14841;44184;12;;RUE;1950;FERDINAND BUISSON;;CS;148;41;47.24;48;;Appartement;2
5123035320AI162404;51230;35;;AV;320;DE CHAMPAGNE;;AI;162;404;81.09;79;;Appartement;4
54395263620CH6411;54395;26;;RUE;3620;MESSIER;;CH;64;11;39.69;39;;Appartement;2
561615794D346G1476120;56161;5794;;;D346;GOLF SAINT LAURENT;;G;1476;120;43.85;44;;Appartement;3
5819455080BO2469;58194;5;;RUE;5080;DE PRUNEVEAUX;;BO;246;9;108.78;124;;Appartement;4
595121182312KM157;59512;118;;BD;2312;DU GENERAL DE GAULLE;;KM;15;7;89.84;71;;Appartement;3
600572472230BE5917;60057;247;;RUE;2230;DE NOTRE DAME DU THIL;;BE;59;17;48.35;48;;Appartement;2
6015534176AB3964;60155;34;;RUE;176;DE LA VILLE;;AB;396;4;19.11;18;;Appartement;1
60159151965AV82124;60159;15;;SQ;1965;JEAN BAPTISTE CLEMENT;;AV;82;124;97.39;97;;Appartement;5
605248490AE2391;60524;84;;AV;90;JEAN JAURES;;AE;239;1;31.73;32;;Appartement;1
6914954170AI19227;69149;54;;RUE;170;DE LA BUSSIERE;;AI;192;27;49.89;51;;Appartement;2
6938415490AY167144;69384;15;;RUE;490;ARTAUD;;AY;167;144;20.02;20;;Appartement;1
74119110AL573;74119;1;;AV;10;D ABONDANCE;;AL;5;73;34.86;33;;Appartement;2
74236950456I281068;74236;950;;AV;456;DU MONT D ARBOIS;;I;2810;68;39.05;39;;Appartement;2
742381101170G876572;74238;110;;RTE;1170;DE LA TELECABINE;;G;876;572;18.93;20;;Appartement;1
742782308890AB3185;74278;2308;;AV;890;DES VALLEES;;AB;318;5;88.59;88;;Appartement;4
75105228690AR4528;75105;22;;BD;8690;SAINT MARCEL;;AR;45;28;30.05;41;;Appartement;2
75110455907BA4815;75110;45;;BD;5907;DE MAGENTA;;BA;48;15;32.3;32;;Appartement;2
75111148158AA4323;75111;14;;AV;8158;DE LA REPUBLIQUE;;AA;43;23;120.28;120;;Appartement;4
751111608699AD1042;75111;160;;RUE;8699;SAINT MAUR;;AD;10;42;17.94;28;;Appartement;2
75111116601AH7223;75111;11;;RUE;6601;DU MOULIN JOLY;;AH;72;23;28.39;28;;Appartement;2
75112363313CT4318;75112;36;;RUE;3313;ERARD;;CT;43;18;18;41;;Appartement;2
751122201794DA1721;75112;220;;RUE;1794;DE CHARENTON;;DA;17;21;51.44;51;;Appartement;3
7511217588EN2230;75112;17;;RUE;588;D AUSTERLITZ;;EN;22;30;10.06;10;;Appartement;1
7511560A3201DU4103;75115;60;A;RUE;3201;EMERIAU;;DU;4;103;88.3;88;;Appartement;4
7511849064AI167;75118;4;;RUE;9064;SQUARE CARPEAUX;;AI;16;7;23.98;18;;Appartement;1
75118362112AO48134;75118;36;;AV;2112;DE CLICHY;;AO;48;134;53.59;39;;Appartement;2
75118685995BJ7360;75118;68;;RUE;5995;MARCADET;;BJ;73;60;24.3;25;;Appartement;2
762171670BN2544;76217;16;;AV;70;ALEXANDRE ANQUETIN;;BN;25;44;61.52;59;;Appartement;4
764515A020AT125261;76451;5;;PARC;A020;DE LA BRESLE;;AT;125;261;57.27;58;;Appartement;3
766554475AB3138;76655;4;;RUE;475;FRANCOIS LAPERT;;AB;313;8;23.98;25;;Appartement;1
771185B1160BI9110;77118;5;B;RUE;1160;DE LA SOLIDARITE;;BI;91;10;35.32;40;;Appartement;2
783504394AN5091;78350;4;;ALL;394;HELENE LAZAREFF;;AN;50;91;89.41;89;;Appartement;4
784231892BM11511;78423;1;;AV;892;DE DENTON;;BM;115;11;106.19;107;;Appartement;5
7854515545AD12360;78545;15;;RUE;545;ROBERT DESNOS;;AD;12;360;67.76;70;;Appartement;4
785451386AE16543;78545;1;;RUE;386;MAL DE LATTRE DE TASSIGNY;;AE;165;43;40.55;40;;Appartement;2
78551531270AL12622;78551;53;;RUE;1270;DE MAREIL;;AL;126;22;84.31;142;;Appartement;5
7858612033AL16104;78586;1;;RUE;2033;MAETERLINCK;;AL;16;104;74;74;;Appartement;3
786402145AM2243;78640;2;;RUE;145;DIVISION LECLERC;;AM;224;3;49.16;48;;Appartement;2
83062B104AT88414;83062;;;;B104;LES SAVELS;;AT;884;14;50.74;50;;Appartement;2
83069312279EX447;83069;31;;AV;2279;DE LA SABLIERE CAPTE;;EX;44;7;20.15;20;;Appartement;1
831129100A196CK9830;83112;9100;;RES;A196;LE GRAND SOLEIL;;CK;98;30;47.52;38;;Appartement;2
831238896AL24639;83123;8;;ALL;896;DES PAQUERETTES;;AL;246;39;86.92;91;;Maison;5
84007431000DK3741;84007;43;;RUE;1000;CAMPANE;;DK;374;1;37.24;40;;Appartement;2
85047784765AE932173;85047;78;;RUE;4765;CARNOT;;AE;932;173;43.12;45;;Appartement;2
8606220B1280ZP2479;86062;20;B;ALL;1280;DU HAUT POITOU;;ZP;247;9;30.42;30;;Appartement;1
8619490071305BE6737;86194;9007;;RUE;1305;DES DOUVES;;BE;67;37;71.03;75;;Appartement;4
8707514263BE4290;87075;14;;RUE;263;DU CLUZEAU;;BE;4;290;62.95;62;;Appartement;2
8708582208PY5574;87085;8;;RUE;2208;GEORGES BELJEAN;;PY;55;74;43.54;43;;Appartement;2
91249210C119249;91249;2;;RUE;10;D ADELAIAU;;C;1192;49;128.34;128;;Appartement;5
916896280AB6614;91689;6;;RUE;280;DE LA DIVISION LECLERC;;AB;661;4;43.42;43;;Appartement;2
92025799620AK1339;92025;79;;RUE;9620;DE VARSOVIE;;AK;13;39;49.45;55;;Appartement;3
9202654150AX2982;92026;5;;BD;4150;GEORGES CLEMENCEAU;;AX;29;82;62.1;65;;Appartement;3
92036324138AH210117;92036;32;;RUE;4138;GEORGES THORETTON;;AH;210;117;59.35;59;;Appartement;3
92044744785O1196;92044;74;;RUE;4785;JULES GUESDE;;O;119;6;52.85;55;;Appartement;2
93032352840BY2714;93032;35;;AV;2840;SAINTE FOY;;BY;271;4;106.31;90;115;Maison;4
9305141279BR1479;93051;4;;ALL;1279;JOSEPHINE;;BR;14;79;77.93;77;;Appartement;4
930571294770P16625;93057;129;;ALL;4770;JULES AUFFRET;;P;166;25;46;46;;Appartement;2
930711670CA106;93071;1;;PL;670;GASTON BUSSIERE;;CA;10;6;24.63;24;;Appartement;2
940442197AM786;94044;21;;RUE;97;CLAUDE BERNARD;;AM;78;6;67.1;67;;Appartement;3
9406018470AL4868;94060;18;;RUE;470;DE PROVENCE;;AL;48;68;80;66;;Maison;4
940604338AR127110;94060;4;;RUE;338;DU CLOS SAINT NICOLAS;;AR;127;110;48.02;49;;Appartement;2
9408073110Q958;94080;7;;RUE;3110;DE L EGALITE;;Q;95;8;16.37;17;;Appartement;1
9525216305AB337109;95252;16;;RUE;305;DE LA FOSSE AUX BICHES;;AB;337;109;72.53;69;;Appartement;4
9538857200AB1831;95388;57;;ALL;200;DU VEXIN;;AB;18;31;90.07;93;;Maison;5
956079004A770BV297544;95607;9004;;RES;A770;LES LIGNIERES;;BV;297;544;57.1;56;;Appartement;3
012629520AB854;01262;9;;RUE;520;NEUVE;;AB;85;4;41.82;47;;Appartement;1
0240827910AS12213;02408;27;;RUE;910;FERNAND THUILLART;;AS;122;13;165.11;156;;Appartement;6
031902720AP543;03190;2;;RUE;720;DENAIN;;AP;54;3;124.01;77;;Appartement;3
040737052A004D77446;04073;7052;;RES;A004;LES CHENEVRIERS;;D;774;46;24.32;25;;Appartement;1
04166710288G3531;04166;7102;;PL;88;DE L ENGIEN;;G;353;1;106.43;133;;Appartement;4
042099002440AS4429;04209;9002;;PL;440;DU DOCTEUR ROBERT;;AS;442;9;32.89;33;;Appartement;1
06004152270BS10524;06004;15;;AV;2270;NIQUET;;BS;105;24;37.66;41;;Appartement;2
0602772900CH151129;06027;7;;CHE;2900;DE SAINT LAURENT;;CH;151;129;58.42;58;;Appartement;3
0608885600LA31219;06088;8;;RUE;5600;ROSSINI;;LA;312;19;99.04;98;;Appartement;4
06088273535LB29933;06088;27;;RUE;3535;LAMARTINE;;LB;299;33;30.2;95;;Appartement;3
0608846575LP224;06088;4;;AV;6575;VALROSE;;LP;2;24;68.75;68;;Appartement;3
0615915B800AR212167;06159;15;B;AV;800;VICTOR CAUVIN;;AR;212;167;56.05;58;;Appartement;2
103235215BN66112;10323;5;;IMP;215;DU CHANT DE L ALOUETTE;;BN;661;12;55.5;52;;Appartement;3
131195279F225AK27971;13119;5279;F;RUE;225;DU 14 JUILLET;;AK;279;71;53.09;51;;Appartement;3
13201553691804B1758;13201;55;;RUE;3691;FRANCIS DAVSO;804;B;175;8;48.24;50;;Appartement;2
1320491341815M991;13204;9;;RUE;1341;BOSCARY;815;M;99;1;28.4;30;;Appartement;1
1320692646825A4614;13206;9;;RUE;2646;CRUDERE;825;A;46;14;51.01;51;;Appartement;3
13209134340853Z135217;13209;13;;BD;4340;GUSTAVE GANAY;853;Z;135;217;51.54;52;;Appartement;3
1411845355KH8624;14118;4;;RUE;5355;AUX NAMPS;;KH;86;24;34.83;59;;Appartement;2
143331660AK1782;14333;1;;RUE;660;PESTEL;;AK;178;2;12.44;13;;Appartement;1
1471511250AI3004085;14715;1;;AV;1250;P CASSAGNAVERE;;AI;300;4085;53.76;53;;Appartement;2
147541420AB4638;14754;1;;RUE;420;CHARLES KOECHLIN;;AB;463;8;52.82;32;792;Maison;2
17300662400BN410;17300;66;;AV;2400;DENFERT ROCHEREAU;;BN;4;10;32.18;33;;Appartement;1
174146155AE10322;17414;6;;RUE;155;DES MENDRIES;;AE;1032;2;49.9;50;;Maison;3
221135A050AR505125;22113;5;;RES;A050;DE LA HAUTE RIVE;;AR;505;125;68.3;67;;Appartement;4
221683350AX25330;22168;33;;RUE;50;ANATOLE LE BRAZ;;AX;253;30;54.42;57;;Appartement;2
2227816H360AH149142;22278;16;H;BD;360;DE L ATLANTIQUE;;AH;149;142;64;64;;Appartement;4
24322191270BL1272;24322;19;;AV;1270;DAUMESNIL;;BL;127;2;31.05;33;;Appartement;1
25527850165B5611;25527;850;;CHE;165;DES GOUILLOTTES;;B;561;1;127.96;147;;Appartement;5
2808534B1460DB27111;28085;34;B;RUE;1460;DU FAUBOURG ST JEAN;;DB;271;11;106.03;105;;Maison;5
3000322480AD821;30003;22;;RUE;480;THEAULON;;AD;82;1;32.29;50;;Appartement;2
30007145471CD2422;30007;145;;QUAI;471;DE BILINA;;CD;242;2;39.5;39;;Appartement;2
301338042BZ38211;30133;80;;RUE;42;DES ANEMONES;;BZ;38;211;20;19;;Appartement;1
301894B590EV6095;30189;4;B;RUE;590;ARNAVIELLE;;EV;60;95;60.07;60;;Appartement;3
3201331390AD95316;32013;3;;RUE;1390;DAUMESNIL;;AD;953;16;54;57;;Appartement;2
33005230742AO162132;33005;230;;BD;742;DE LA REPUBLIQUE;;AO;162;132;44.12;44;;Appartement;2
33063528975HA7411;33063;52;;RUE;8975;DU TONDU;;HA;74;11;61.16;60;;Appartement;4
3307517175AV70512;33075;17;;RUE;175;DES HIRONDELLES;;AV;705;12;86.3;86;;Maison;4
3355017793AV354117;33550;17;;RUE;793;LAURENT FIGNON;;AV;354;117;39.23;45;;Appartement;2
340237170AC13214;34023;7;;AV;170;PASTEUR;;AC;132;14;24.6;24;;Appartement;1
3726152482BT2984;37261;5;;RUE;2482;HENRI HERTZ;;BT;298;4;42.2;42;;Appartement;2
3726141689DR101995;37261;4;;ALL;1689;DES ERABLES;;DR;1019;95;63.1;70;;Appartement;3
381696360AH76929;38169;6;;RUE;360;DOYEN GOSSE;;AH;769;29;21;20;;Appartement;1
3818541010BY31142;38185;4;;PL;1010;BIR HAKEIM;;BY;31;142;95.74;95;;Appartement;3
382531320AH2613;38253;13;;AV;20;DE LA MUZELLE MT DE LANS;;AH;26;13;60.55;62;;Appartement;3
40046176693BC21733;40046;176;;AV;693;GABRIELE  D ANNUNZIO;;BC;217;33;29.78;25;;Maison;1
40088492060BV2063;40088;49;;AV;2060;VICTOR HUGO;;BV;206;3;18.63;19;;Appartement;1
40304112414BL2271;40304;112;;AV;414;DU MARENSIN;;BL;227;1;82.35;47;;Maison;3
422562187AB3627;42256;2;;CHE;187;DES GREFFIERS;;AB;362;7;94.39;93;396;Maison;4
44109522736IP66111;44109;52;;BD;2736;DE L EGALITE;;IP;661;11;62.14;64;;Appartement;3
4419018190DM293242;44190;18;;RUE;190;BONNE GARDE;;DM;293;242;47.34;47;;Appartement;2
442041742AD27433;44204;1;;RUE;742;PAUL VERLAINE;;AD;274;33;42.25;42;;Appartement;2
452342393751BX47516;45234;239;;FG;3751;SAINT VINCENT;;BX;475;16;65.71;65;;Appartement;3
4528613571BE605121;45286;13;;ALL;571;DES ERABLES;;BE;605;121;72.37;69;;Appartement;1
5000274150AE9412;50002;74;;RTE;150;DE COUTANCES;;AE;94;12;57.88;47;;Appartement;2
5145471440IK1347137;51454;7;;IMP;1440;DES CARMELITES;;IK;1347;137;119.95;121;;Appartement;4
54395214890BW9513;54395;21;;RUE;4890;DES SOEURS MACARONS;;BW;95;13;36.6;38;;Appartement;2
560622A112AB62156;56062;2;;RES;A112;DE PORH MEN GUEN;;AB;621;56;97.51;105;;Appartement;3
59368191540BL47112;59368;19;;AV;1540;SIMONE;;BL;47;112;80.09;80;;Appartement;3
5937842Q1185BW2883;59378;42;Q;RUE;1185;JEAN JAURES;;BW;288;3;29.73;30;;Maison;2
59491468597AT6911;59491;468;;RUE;597;HENRI DURRE;;AT;691;1;153.25;139;;Maison;5
601592163AI4924;60159;2;;RUE;163;AMPERE;;AI;49;24;41;37;;Appartement;1
6015959C1600AZ353;60159;59;C;RUE;1600;DU GENERAL MANGIN;;AZ;35;3;220.72;210;;Maison;8
6038235208AL11166;60382;35;;IMP;208;JEAN DE LA FONTAINE;;AL;11;166;30.38;30;;Appartement;2
603951840AP3041501;60395;1;;AV;840;JACQUES CARTIER;;AP;304;1501;72.91;74;;Appartement;4
6052434B68AE3882;60524;34;B;AV;68;DE LA GARE;;AE;388;2;67.47;68;;Appartement;3
62041761880AB5825;62041;76;;PL;1880;GRAND PLACE;;AB;582;5;45.5;45;;Appartement;2
6330031650BX1686;63300;31;;RUE;650;HIPPOLYTE GOMOT;;BX;168;6;62.72;47;;Appartement;2
690036120AA721006;69003;6;;AV;120;DE LA GARE;;AA;72;1006;108.84;109;;Appartement;4
6920478B290BH2353;69204;78;B;RUE;290;DES COLLONGES;;BH;235;3;43.25;43;;Appartement;2
69264496600AI105;69264;496;;RUE;600;ETIENNE POULET;;AI;10;5;78.72;71;;Appartement;3
69389726525BR106;69389;72;;RUE;6525;SAINT PIERRE DE VAISE;;BR;10;6;32.82;38;;Appartement;1
6938926013BT14735;69389;2;;PL;6013;DE LA RHODIACETA;;BT;147;35;75.31;75;;Appartement;3
705502480A2823;70550;24;;RUE;80;DE LA BANQUE;;A;282;3;75.87;76;;Appartement;4
705502250B6587;70550;22;;RUE;50;D ALSACE LORRAINE;;B;658;7;168.38;106;;Appartement;4
7401413290B473124;74014;13;;RTE;290;DES MOULINS;;B;4731;24;21.29;21;;Appartement;1
742491101690AE59086;74249;110;;RTE;1690;DE LA SAUGE;;AE;590;86;76.14;76;;Appartement;3
751021928525AN6311;75102;192;;RUE;8525;SAINT DENIS;;AN;63;11;36.91;37;;Appartement;3
75103248716AK8074;75103;24;;RUE;8716;DE SAINTONGE;;AK;80;74;66;12;;Appartement;1
7510488723AQ12684;75104;8;;RUE;8723;SAINT PAUL;;AQ;126;84;25.34;25;;Appartement;2
75105301156AH303;75105;30;;RUE;1156;DES BOULANGERS;;AH;30;3;21.34;20;;Appartement;1
75106361360BJ1856;75106;36;;RUE;1360;DE BUCI;;BJ;18;56;28.55;28;;Appartement;1
7510772177CN19129;75107;7;;RUE;2177;COGNACQ JAY;;CN;19;129;82.62;83;;Appartement;3
75110382088BM5317;75110;38;;AV;2088;CLAUDE VELLEFAUX;;BM;53;17;30.18;31;;Appartement;2
7511177540AX56101;75111;7;;RUE;7540;PLICHON;;AX;56;101;58.45;56;;Appartement;3
75111337380CR201125;75111;33;;AV;7380;PHILIPPE AUGUSTE;;CR;201;125;31.12;30;;Appartement;2
7511238B9423EV42111;75112;38;B;RUE;9423;TRAVERSIERE;;EV;42;111;44.95;50;;Appartement;2
75114314CU22126;75114;31;;RUE;4;DE L ABBE CARTON;;CU;22;126;25.06;26;;Appartement;1
7511586105BS11310;75115;8;;RUE;6105;MARMONTEL;;BS;113;10;37.38;37;;Appartement;2
7511522A3201DR11219;75115;22;A;RUE;3201;EMERIAU;;DR;11;219;99.96;97;;Appartement;6
75117625473CJ10721;75117;62;;RUE;5473;LEGENDRE;;CJ;107;21;63.16;75;;Appartement;3
75117686627CU931071;75117;68;;RUE;6627;MSTISLAV ROSTROPOVITCH;;CU;93;1071;47.12;47;;Appartement;2
75118765595AT1114;75118;76;;RUE;5595;LEPIC;;AT;111;4;53.01;50;;Appartement;3
7511821B2974AV4633;75118;21;B;RUE;2974;DUHESME;;AV;46;33;52.46;51;;Appartement;3
751181242534AX211;75118;124;;RUE;2534;DAMREMONT;;AX;2;11;52.24;50;;Appartement;2
75118897564BV498;75118;89;;RUE;7564;DES POISSONNIERS;;BV;49;8;29.13;30;;Appartement;2
75118289348DA19242;75118;28;;RUE;9348;DE TORCY;;DA;19;242;67.8;68;;Appartement;3
7512094545AO3310;75120;9;;RUE;4545;HENRI CHEVREAU;;AO;33;10;21.01;25;;Appartement;1
7635145662DG232107;76351;4;;RUE;5662;MICHEL DUBOSC;;DG;232;107;19.9;20;;Appartement;1
764473450AN2127;76447;3;;RUE;450;HENRY LEMONNIER;;AN;212;7;45.84;30;;Appartement;1
7645110944AC12475;76451;10;;RUE;944;ROBERT DE THORIGNY;;AC;124;75;39.3;39;;Appartement;2
7700519B101AD11614;77005;19;B;RUE;101;DU GENERAL DE GAULLE;;AD;116;14;32.99;29;;Appartement;2
7701456490D45210;77014;56;;RUE;490;REMY DUMONCEL;;D;452;10;24.06;25;;Appartement;1
770584161AH2830;77058;4;;RUE;161;KONRAD ADENAUER;;AH;28;30;53.6;53;;Appartement;2
7705817105AI1055;77058;17;;AV;105;DU GENERAL DE GAULLE;;AI;105;5;31.42;31;;Appartement;1
7705913Q20B3921;77059;13;Q;RUE;20;DE CHAMPAGNE;;B;392;1;111.15;102;;Maison;5
771922E593C135431;77192;2;E;SQ;593;DU PETIT MARGAT;;C;1354;31;60.25;60;;Appartement;3
772592C160C7511;77259;2;C;CHE;160;DU GAZON;;C;751;1;75.06;76;;Maison;4
77288171060AI133107;77288;17;;RUE;1060;LOUVIOT;;AI;133;107;33.49;33;;Appartement;2
77288151760AP27719;77288;15;;RUE;1760;DE VAUX;;AP;277;19;44.94;45;;Appartement;2
773792B1520AO804;77379;2;B;RUE;1520;DU TEMPLE;;AO;80;4;66.54;76;;Appartement;3
78005113370BI5409;78005;113;;AV;370;DE POISSY;;BI;540;9;42.2;42;;Appartement;2
78372860AB18148;78372;8;;SQ;60;DES AUBADES;;AB;18;148;67.6;66;;Appartement;4
783729A030AE809247;78372;9;;RES;A030;DE LA SABOTTE;;AE;809;247;53.05;55;;Appartement;3
783831578AO89518;78383;1;;SQ;578;DU JURANCON;;AO;895;18;27.81;28;;Appartement;1
785503154A763;78550;3;;RUE;154;LOUIS PASTEUR;;A;76;3;101.85;107;;Maison;6
786219003A004AV235136;78621;9003;;CITE;A004;LA GARENNE A BREFAUT;;AV;235;136;55.06;51;;Appartement;3
78646162100BV1484;78646;16;;RUE;2100;DE L OCCIDENT;;BV;148;4;80.38;82;;Appartement;4
8209629634E143429;82096;29;;RUE;634;DES LILAS;;E;1434;29;71.05;71;;Maison;3
8300971125AP68608;83009;71;;CHE;125;DE L ESCOURCHE;;AP;68;608;37.6;51;;Appartement;2
83009271157BI14110;83009;271;;BD;157;DES GRAVIERS;;BI;14;110;15.2;15;;Appartement;1
830349500A064AK74762;83034;9500;;RES;A064;LE ST VINCENT;;AK;74;762;29.85;30;;Appartement;2
830701579BX18244;83070;1;;AV;579;PIERRE DE COUBERTIN;;BX;18;244;64.84;64;;Appartement;3
850359733A081BW59211;85035;9733;;RES;A081;LES TROIS TOURS 2;;BW;592;11;37.82;37;;Appartement;2
851275175ZW2622;85127;5;;AV;175;DU LITTORAL;;ZW;262;2;64.41;64;;Appartement;3
8519431265AM13181;85194;3;;RUE;1265;FIEF DES COUTS;;AM;1318;1;63.63;64;;Appartement;3
852624668AT12366;85262;46;;RUE;68;DU BAS RUET;;AT;123;66;88.5;88;;Maison;4
8837238440B2595;88372;38;;RUE;440;JULES FERRY;;B;259;5;81.24;82;;Appartement;3
900101920AH27229;90010;1;;RUE;920;DE COLMAR;;AH;272;29;42.25;44;;Appartement;2
90010241020BL23414;90010;24;;RUE;1020;DE CRONSTADT;;BL;234;14;56;56;;Appartement;3
91114433820AP23619;91114;43;;RUE;3820;DES 3 CHENES;;AP;236;19;69.17;63;;Appartement;4
9122510A030AN41151;91225;10;;RES;A030;LES BOIS DU CERF;;AN;4;1151;146.94;168;;Maison;6
9132651740AI861;91326;5;;RUE;1740;MONTTESSUY;;AI;86;1;49;49;;Appartement;3
913774360AV31150;91377;4;;ALL;360;D'AUTRICHE;;AV;31;150;93.02;96;;Appartement;5
9142550B400AA15628;91425;50;B;RTE;400;D ORLEANS RN 20;;AA;156;28;40;44;;Appartement;2
9157010590AP111020;91570;10;;ALL;590;DES ERABLES;;AP;11;1020;115.97;118;;Maison;5
915892394900AP1101;91589;239;;AV;4900;ROBERT LEUTHREAU;;AP;110;1;90;45;;Maison;2
920044683AD977;92004;4;;RUE;683;BERNARD JUGAULT;;AD;97;7;67.23;66;;Appartement;4
9200426735AH22;92004;26;;RUE;735;DES BOURGUIGNONS;;AH;2;2;40.69;40;;Appartement;3
92004128160U3924;92004;12;;RUE;8160;DU R P CH GILBERT;;U;39;24;54.2;54;;Appartement;2
9200911545C11011;92009;1;;RUE;1545;CLAUDE MIVIERE;;C;110;11;52.47;52;;Appartement;3
920126650AK285102;92012;6;;IMP;650;BELLEVUE;;AK;285;102;65.62;56;;Appartement;1
920121974110AM14;92012;197;;RUE;4110;GALLIENI;;AM;1;4;87.15;88;;Appartement;4
92012192575BD844;92012;19;;ALL;2575;ROBERT DOISNEAU;;BD;84;4;23.8;23;;Appartement;1
92012118831F1331;92012;11;;RUE;8831;SAINT DENIS;;F;13;31;31.2;29;;Appartement;2
92012113536K4313;92012;11;;RUE;3536;FESSART;;K;43;13;78.02;119;;Appartement;4
92014367135D14108;92014;36;;RUE;7135;PAUL HENRY THILLOY;;D;14;108;76.85;77;;Appartement;1
9202211621020AC3835;92022;1162;;AV;1020;ROGER SALENGRO;;AC;383;5;59.73;50;;Appartement;3
92023854437C26181;92023;85;;AV;4437;HENRI BARBUSSE;;C;261;81;40.8;74;;Appartement;3
920252738825BK23713;92025;273;;RUE;8825;SAINT DENIS;;BK;237;13;61.06;62;;Appartement;3
9202597165BS12260;92025;9;;RUE;7165;PAUL BERT;;BS;12;260;38.05;35;;Appartement;2
92025219653Z1366;92025;21;;RUE;9653;VICTOR HUGO;;Z;136;6;32.02;32;;Appartement;2
9202678510AU3512;92026;7;;RUE;8510;DE LA SABLIERE;;AU;35;12;94.32;92;;Appartement;4
920481665AR431021;92048;1;;SQ;665;DES COLONNES;;AR;43;1021;61.97;63;;Appartement;3
9205066880CU16262;92050;6;;RUE;6880;DE L'OUEST;;CU;16;262;61.93;61;;Appartement;3
9206371750AR8642;92063;7;;RUE;1750;DU GUE;;AR;864;2;25.16;25;;Appartement;1
9206311330AR891904;92063;11;;RUE;330;DE LA BENARDE;;AR;891;904;46.75;46;;Appartement;2
92063123175AS121315;92063;12;;SQ;3175;RONSARD;;AS;12;1315;48.5;47;;Appartement;2
9207575155L7711;92075;7;;RUE;5155;LOUIS BLANC;;L;77;11;44.17;43;;Appartement;2
93001556185K18216;93001;55;;RUE;6185;DU MOUTIER;;K;182;16;35;35;;Appartement;2
93006778510O512;93006;77;;RUE;8510;SADI CARNOT;;O;5;12;30.45;30;;Appartement;2
93010467J2361084;93010;4;;RUE;67;ARTHUR RIMBAUD;;J;236;1084;70.56;71;;Appartement;3
93048245050BL1101;93048;24;;RUE;5050;KLEBER;;BL;110;1;102.46;147;;Appartement;6
94016681460U14624;94016;68;;RUE;1460;DU COLONEL FABIEN;;U;146;24;21.13;21;;Appartement;1
94022187145N5025;94022;18;;RUE;7145;PAUL CARLE;;N;50;25;41.57;42;;Appartement;2
